index,latitude,longitude,open_datetime,closed_datetime
8130,41.543213,-72.053452,1632474000.0,1632528000.0
8131,41.428623,-72.082007,1632474000.0,1632524400.0
8133,42.585453,-71.777978,1632474000.0,1632524400.0
8134,42.27779,-71.853943,1632474000.0,1632524400.0
8136,41.334337,-72.104961,1632474000.0,1632517200.0
8137,43.455725,-71.565489,1632470400.0,1632535200.0
8138,42.336678,-71.835008,1632474000.0,1632524400.0
8139,42.175646,-71.874879,1632472200.0,1632528000.0
8140,41.513229,-72.046961,1632470400.0,1632528000.0
8141,42.557049,-71.771692,1632470400.0,1632481200.0
8142,42.230335,-71.849364,1632474000.0,1632520800.0
8143,42.182813,-71.861494,1632474000.0,1632538800.0
8144,41.379173,-72.075854,1632474000.0,1632535200.0
8145,42.242247,-71.845058,1632474000.0,1632520800.0
8146,41.928801,-71.923445,1632474000.0,1632535200.0
8147,42.293874,-71.828066,1632481200.0,1632528000.0
8148,42.595669,-71.7515,1632474000.0,1632520800.0
8150,42.049277,-71.888408,1632474000.0,1632524400.0
8151,43.288948,-71.581492,1632470400.0,1632524400.0
8152,41.34731,-72.076233,1632470400.0,1632510000.0
8153,43.660726,-71.495993,1632474000.0,1632535200.0
8154,42.24652,-71.83526,1632456000.0,1632535200.0
8155,42.579326,-71.749751,1632472200.0,1632524400.0
8156,42.048924,-71.884423,1632474000.0,1632517200.0
8157,42.546898,-71.75567,1632488400.0,1632520800.0
8158,42.528696,-71.758636,1632474000.0,1632535200.0
8159,42.116669,-71.861972,1632474000.0,1632524400.0
8160,41.698413,-71.971978,1632472200.0,1632528000.0
8161,42.519417,-71.758216,1632474000.0,1632524400.0
8162,43.257881,-71.579108,1632470400.0,1632524400.0
8163,42.203853,-71.837208,1632470400.0,1632542400.0
8164,41.973014,-71.896714,1632470400.0,1632524400.0
8165,41.921044,-71.907096,1632472200.0,1632524400.0
8166,42.261094,-71.818221,1632474000.0,1632524400.0
8167,42.057783,-71.869381,1632474000.0,1632531600.0
8168,42.272947,-71.813556,1632474000.0,1632528000.0
8169,41.584071,-71.995132,1632481200.0,1632524400.0
8174,42.290988,-71.806063,1632474000.0,1632535200.0
8176,42.060203,-71.865427,1632470400.0,1632538800.0
8177,42.25397,-71.814674,1632456000.0,1632520800.0
8178,42.319334,-71.795706,1632470400.0,1632535200.0
8179,42.529755,-71.742265,1632488400.0,1632531600.0
8180,42.114579,-71.848106,1632474000.0,1632524400.0
8181,42.66495,-71.707473,1632474000.0,1632524400.0
8183,42.346039,-71.787044,1632474000.0,1632524400.0
8185,42.836997,-71.663039,1632470400.0,1632531600.0
8188,42.50022,-71.745306,1632474000.0,1632528000.0
8189,42.042775,-71.862552,1632474000.0,1632535200.0
8190,41.346374,-72.048796,1632474000.0,1632511800.0
8192,42.263398,-71.802033,1632481200.0,1632502800.0
8193,43.71217,-71.4526,1632474000.0,1632531600.0
8195,42.444486,-71.752294,1632474000.0,1632520800.0
8197,42.255217,-71.798533,1632456000.0,1632524400.0
8198,42.247346,-71.799873,1632474000.0,1632528000.0
8199,43.513992,-71.492601,1632470400.0,1632535200.0
8201,41.924411,-71.880192,1632474000.0,1632524400.0
8202,41.383251,-72.026657,1632474000.0,1632524400.0
8203,42.749029,-71.669373,1632474000.0,1632531600.0
8206,42.49644,-71.72729,1632481200.0,1632513600.0
8208,42.493575,-71.727124,1632474000.0,1632524400.0
8209,42.294766,-71.776966,1632474000.0,1632531600.0
8211,42.295404,-71.771357,1632474000.0,1632535200.0
8212,42.53745,-71.706356,1632472200.0,1632524400.0
8213,41.844043,-71.882978,1632474000.0,1632524400.0
8214,43.524011,-71.467402,1632470400.0,1632538800.0
8215,42.29767,-71.76239,1632474000.0,1632538800.0
